Localidade;IPDM_EmpRenda;Renda_PC;IPDM_Saude;IDHM_Long;IDHM_Educ
Santa Izabel do Oeste;0,3809;528,49;0,8736;0,826;0,603
Santa Lúcia;0,3894;574,48;0,9174;0,795;0,592
Santa Maria do Oeste;0,338;331,15;0,427;0,79;0,477
Santa Mariana;0,388;558,49;0,703;0,804;0,624
Santa Mônica;0,401;611,37;0,7034;0,792;0,63
Santa Tereza do Oeste;0,4585;566,66;0,7547;0,808;0,632
Santa Terezinha de Itaipu;0,4299;669,91;0,837;0,814;0,689
Santana do Itararé;0,2883;454,13;0,7109;0,848;0,585
Santo Antônio da Platina;0,4739;748,72;0,6961;0,817;0,617
Santo Antônio do Caiuá;0,3884;450,55;0,7596;0,82;0,632
Santo Antônio do Paraíso;0,4376;558,05;0,6083;0,813;0,662
Santo Antônio do Sudoeste;0,3871;567,04;0,7436;0,807;0,543
Santo Inácio;0,5655;827,21;0,7923;0,843;0,641
São Carlos do Ivaí;0,6088;632,85;0,723;0,825;0,547
São Jerônimo da Serra;0,355;378,08;0,3925;0,822;0,503
São João;0,4906;601,57;0,7564;0,838;0,66
São João do Caiuá;0,3757;519,94;0,5395;0,785;0,551
São João do Ivaí;0,3584;531,03;0,7198;0,803;0,611
São João do Triunfo;0,3743;460,84;0,5363;0,801;0,475
São Jorge do Ivaí;0,4386;733,99;0,8538;0,81;0,696
São Jorge do Patrocínio;0,4346;629,92;0,7572;0,81;0,543
São Jorge d'Oeste;0,3858;633,24;0,8795;0,813;0,656
São José da Boa Vista;0,3668;457,36;0,8342;0,781;0,594
São José das Palmeiras;0,3518;560,61;0,8221;0,844;0,627
São José dos Pinhais;0,7298;832,85;0,5921;0,859;0,678
São Manoel do Paraná;0,5024;709,77;0,8106;0,825;0,64
São Mateus do Sul;0,5775;650,66;0,7377;0,838;0,623
São Miguel do Iguaçu;0,4637;717,94;0,8184;0,818;0,588
São Pedro do Iguaçu;0,3589;563,63;0,5762;0,798;0,581
São Pedro do Ivaí;0,6452;623,99;0,7924;0,836;0,627
São Pedro do Paraná;0,4428;541,57;0,8767;0,836;0,616
São Sebastião da Amoreira;0,3827;577,46;0,7347;0,814;0,651
São Tomé;0,6172;643,61;0,7287;0,816;0,66
Sapopema;0,3591;601,53;0,6709;0,795;0,509
Sarandi;0,4356;529,80;0,7472;0,85;0,579
Saudade do Iguaçu;0,5441;604,35;0,7593;0,803;0,611
Sengés;0,4936;443,40;0,5744;0,811;0,546
Serranópolis do Iguaçu;0,4041;1002,64;0,9789;0,859;0,662
Sertaneja;0,4556;720,32;0,7884;0,809;0,651
Sertanópolis;0,4784;698,04;0,8309;0,804;0,655
Siqueira Campos;0,479;648,43;0,7259;0,839;0,588
Sulina;0,4226;551,31;0,4798;0,854;0,57
Tamarana;0,4261;387,77;0,7846;0,829;0,46
Tamboara;0,3971;542,42;0,7311;0,852;0,674
Tapejara;0,6108;584,21;0,6933;0,819;0,612
Tapira;0,3745;577,98;0,6383;0,794;0,619
Teixeira Soares;0,389;532,16;0,6016;0,822;0,544
Telêmaco Borba;0,5561;722,10;0,6568;0,828;0,657
Terra Boa;0,4933;649,44;0,8182;0,803;0,68
Terra Rica;0,5008;613,19;0,7866;0,837;0,613
Terra Roxa;0,4771;607,69;0,7514;0,818;0,639
Tibagi;0,4661;535,27;0,6355;0,832;0,519
Tijucas do Sul;0,488;538,43;0,627;0,792;0,479
Toledo;0,648;864,52;0,7774;0,855;0,702
Tomazina;0,3317;483,76;0,8624;0,829;0,622
Três Barras do Paraná;0,4052;542,28;0,6813;0,831;0,557
